期間指定,2013/01/01～2013/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-02,"10,501","10,496","10,823","10,423","10,823","10,823",322,,,"25,079","39,680"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-03,"10,823","10,863","10,863","10,712","10,763","10,779",-44,-1,,"8,261","40,132"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-04,"10,779","10,789","10,823","10,656","10,760","10,770",-9,-1,,"15,793","39,815"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-07,"10,770","10,780","10,790","10,542","10,625","10,625",-145,-1,,"10,294","41,309"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-08,"10,625","10,612","10,612","10,376","10,431","10,431",-194,-1,,"17,841","42,209"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-09,"10,431","10,421","10,644","10,387","10,642","10,642",211,-5,,"14,390","42,479"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-10,"10,642","10,668","10,778","10,625","10,764","10,764",122,-1,,"10,948","41,323"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-11,"10,764","10,826","10,936","10,756","10,918","10,918",154,,,"22,371","41,550"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-14,"10,918","10,954","11,018","10,906","11,001","11,001",83,-1,,"12,371","41,721"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-15,"11,001","10,975","10,979","10,773","10,896","10,896",-105,-1,,"15,550","42,551"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-16,"10,896","10,879","10,884","10,473","10,646","10,640",-256,-4,,"22,104","42,434"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-17,"10,640","10,655","10,906","10,431","10,875","10,875",235,-1,,"21,820","42,353"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-18,"10,875","10,867","10,986","10,809","10,973","10,973",98,-1,,"13,966","40,122"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-21,"10,973","10,948","10,990","10,716","10,809","10,815",-158,-1,,"11,473","42,493"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-22,"10,815","10,824","10,870","10,551","10,645","10,645",-170,-1,,"16,474","43,506"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-23,"10,645","10,639","10,664","10,436","10,523","10,523",-122,-4,,"12,419","45,121"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-24,"10,523","10,459","10,839","10,441","10,821","10,821",298,-1,,"18,029","43,983"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-25,"10,821","10,839","11,080","10,811","10,999","10,999",178,-1,,"25,922","41,556"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-28,"10,999","11,026","11,034","10,728","10,782","10,782",-217,-1,72,"15,004","43,641"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-29,"10,782","10,757","10,948","10,731","10,897","10,897",115,-1,,"12,821","43,995"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-30,"10,897","10,917","11,191","10,905","11,089","11,095",198,-4,,"20,602","43,027"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-01-31,"11,095","11,083","11,159","11,008","11,119","11,128",33,-1,,"11,837","44,728"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-01,"11,128","11,181","11,325","11,122","11,303","11,296",168,-1,,"23,516","43,530"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-04,"11,296","11,274","11,336","11,115","11,123","11,123",-173,-1,,"17,051","47,458"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-05,"11,123","11,119","11,284","11,024","11,262","11,262",139,-1,,"17,010","51,126"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-06,"11,262","11,280","11,512","11,266","11,420","11,420",158,-6,,"29,643","49,362"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-07,"11,420","11,420","11,457","11,223","11,361","11,352",-68,-1,,"18,942","53,332"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-08,"11,352","11,321","11,341","11,047","11,165","11,165",-187,,,"20,210","54,654"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-11,"11,165","11,164","11,413","11,144","11,387","11,387",222,-1,,"11,393","51,660"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-12,"11,387","11,469","11,470","11,320","11,387","11,396",9,-1,,"18,614","50,337"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-13,"11,396","11,370","11,381","11,197","11,321","11,321",-75,-4,,"11,678","52,751"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-14,"11,321","11,319","11,373","11,211","11,229","11,229",-92,-1,,"9,907","53,943"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-15,"11,229","11,229","11,348","11,072","11,311","11,311",82,-1,52,"15,366","55,507"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-18,"11,311","11,382","11,460","11,327","11,412","11,412",101,-1,,"13,348","52,126"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-19,"11,412","11,405","11,444","11,333","11,437","11,437",25,-1,,"9,689","52,517"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-20,"11,437","11,454","11,563","11,426","11,426","11,426",-11,-4,,"18,416","51,226"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-21,"11,426","11,388","11,451","11,203","11,281","11,281",-145,-1,,"17,110","57,260"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-22,"11,281","11,284","11,510","11,179","11,509","11,509",228,-1,,"19,282","53,039"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-25,"11,509","11,636","11,693","11,120","11,198","11,192",-317,-1,787,"32,895","56,678"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-26,"11,192","11,338","11,527","11,268","11,404","11,404",212,-1,,"29,145","61,191"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-27,"11,404","11,447","11,457","11,227","11,434","11,434",30,-4,,"14,720","62,968"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-02-28,"11,434","11,461","11,637","11,407","11,537","11,537",103,-1,,"29,314","56,731"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-01,"11,537","11,501","11,736","11,453","11,706","11,706",169,-1,,"26,548","55,166"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-04,"11,706","11,694","11,768","11,627","11,749","11,749",43,-1,,"22,315","56,722"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-05,"11,749","11,752","11,861","11,678","11,828","11,828",79,-1,,"20,777","59,502"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-06,"11,828","11,846","12,130","11,815","12,112","12,119",291,-4,,"26,180","60,349"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-07,"12,119","12,108","12,193","11,960","12,139","12,139",20,-1,,"23,823","63,246"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-08,"12,139","12,143","12,485","12,080","12,440","12,440",301,-1,,"40,119","63,858"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-11,"12,440","12,384","12,434","12,309","12,419","12,431",-9,-1,,"17,968","68,747"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-12,"12,431","12,463","12,491","12,218","12,243","12,243",-188,-1,,"25,835","77,652"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-13,"12,243","12,251","12,381","12,238","12,328","12,328",85,-5,,"16,602","76,728"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-14,"12,328","12,335","12,498","12,265","12,463","12,463",135,-1,20,"23,266","74,034"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-15,"12,463","12,448","12,580","12,431","12,490","12,490",27,-3,,"25,182","75,281"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-18,"12,490","12,357","12,481","12,238","12,415","12,403",-87,-1,,"26,635","82,529"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-19,"12,403","12,420","12,535","12,370","12,462","12,462",59,,,"23,139","81,820"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-20,"12,462","12,446","12,708","12,406","12,687","12,687",225,-5,,"15,700","78,267"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-21,"12,687","12,663","12,709","12,484","12,542","12,542",-145,-1,,"24,901","86,763"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-22,"12,542","12,527","12,549","12,348","12,481","12,481",-61,-1,,"23,167","93,747"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-25,"12,481","12,534","12,633","12,352","12,448","12,448",-33,-1,,"20,868","93,498"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-26,"12,448","12,456","12,579","12,439","12,565","12,565",117,-1,"8,939","15,218","96,207"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-27,"12,565","12,507","12,537","12,366","12,482","12,482",-83,-5,,"19,281","97,675"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-28,"12,482","12,494","12,494","12,284","12,409","12,409",-73,-1,,"19,817","98,523"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-03-29,"12,409","12,415","12,442","12,325","12,404","12,404",-5,-1,,"11,130","98,955"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-01,"12,404","12,443","12,443","12,017","12,063","12,054",-350,-1,,"37,795","98,343"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-02,"12,054","12,063","12,198","11,781","12,168","12,179",125,-1,,"37,277","93,484"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-03,"12,179","12,175","12,380","12,137","12,168","12,180",1,-5,,"20,775","93,350"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-04,"12,180","12,207","13,036","12,078","12,984","12,998",818,-2,,"66,380","80,270"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-05,"12,998","13,012","13,247","12,777","13,140","13,140",142,-2,,"53,255","84,809"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-08,"13,140","13,272","13,441","13,091","13,409","13,423",283,-2,,"29,882","85,974"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-09,"13,423","13,441","13,441","13,131","13,282","13,293",-130,-2,,"26,543","89,036"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-10,"13,293","13,297","13,514","13,174","13,476","13,486",193,-8,,"25,579","82,413"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-11,"13,486","13,481","13,541","13,375","13,496","13,496",10,-2,,"23,860","82,877"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-12,"13,496","13,483","13,531","13,335","13,361","13,361",-135,-2,,"19,232","83,223"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-15,"13,361","13,349","13,409","13,015","13,031","13,031",-330,-2,,"19,669","83,801"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-16,"13,031","13,072","13,410","12,939","13,363","13,363",332,-2,,"19,465","82,257"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-17,"13,363","13,355","13,439","13,138","13,284","13,275",-88,-7,,"14,976","84,145"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-18,"13,275","13,287","13,391","13,204","13,293","13,284",9,-2,,"11,384","84,588"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-19,"13,284","13,298","13,601","13,199","13,572","13,572",288,-2,,"18,949","82,437"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-22,"13,572","13,618","13,648","13,491","13,585","13,596",24,-2,,"14,361","83,080"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-23,"13,596","13,597","13,774","13,471","13,746","13,746",150,-2,,"15,364","83,689"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-24,"13,746","13,714","13,952","13,681","13,915","13,926",180,-11,,"18,177","83,147"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2013-04-25,"13,926","13,912","14,052","13,832","13,987","13,987",61,-2,,"14,178","81,375"
