期間指定,2014/01/01～2014/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-02,"16,341","16,411","16,411","15,971","16,003","16,003",-338,,,"17,121","123,049"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-03,"16,003","16,028","16,088","15,851","16,077","16,074",71,-2,,"15,235","122,432"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-06,"16,074","16,081","16,154","15,725","15,796","15,804",-270,-3,,"23,124","125,499"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-07,"15,804","15,816","15,966","15,755","15,949","15,949",145,-3,,"15,994","125,215"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-08,"15,949","15,936","16,142","15,917","16,006","16,006",57,-12,,"21,150","124,804"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-09,"16,006","16,013","16,014","15,815","15,916","15,916",-90,-3,,"15,496","123,182"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-10,"15,916","15,899","15,988","15,714","15,835","15,835",-81,,,"24,240","124,994"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-13,"15,835","15,851","15,856","15,433","15,477","15,490",-345,-3,,"20,665","125,703"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-14,"15,490","15,532","15,737","15,379","15,697","15,697",207,-3,,"21,083","125,042"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-15,"15,697","15,700","15,860","15,641","15,860","15,860",163,-9,,"15,474","124,946"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-16,"15,860","15,840","15,950","15,607","15,695","15,695",-165,-3,,"20,562","126,821"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-17,"15,695","15,669","15,841","15,626","15,742","15,737",42,-3,,"11,403","126,737"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-20,"15,737","15,726","15,763","15,575","15,693","15,693",-44,-3,,"10,664","127,605"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-21,"15,693","15,700","15,907","15,700","15,847","15,847",154,-3,,"15,022","126,575"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-22,"15,847","15,797","15,892","15,633","15,875","15,883",36,-9,,"16,593","126,024"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-23,"15,883","15,882","15,971","15,286","15,375","15,375",-508,-3,,"34,026","122,465"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-24,"15,375","15,433","15,503","14,949","14,966","14,958",-417,-2,,"38,606","123,028"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-27,"14,958","14,970","15,110","14,785","14,996","14,985",27,-2,,"24,043","122,389"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-28,"14,985","15,001","15,158","14,956","15,140","15,140",155,-2,110,"15,428","122,626"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-29,"15,140","15,248","15,392","14,859","14,993","14,993",-147,-11,,"29,213","123,303"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-30,"14,993","15,028","15,223","14,845","15,159","15,154",161,-2,,"19,299","123,278"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-01-31,"15,154","15,139","15,172","14,577","14,645","14,645",-509,-2,,"32,181","122,163"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-03,"14,645","14,705","14,850","14,125","14,173","14,173",-472,-2,,"33,370","117,475"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-04,"14,173","14,189","14,347","13,914","14,337","14,325",152,-3,,"31,154","118,638"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-05,"14,325","14,283","14,313","13,987","14,213","14,213",-112,-9,,"25,535","118,041"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-06,"14,213","14,212","14,480","14,112","14,457","14,457",244,-6,,"18,465","117,818"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-07,"14,457","14,443","14,709","14,308","14,656","14,656",199,-2,,"25,324","116,988"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-10,"14,656","14,725","14,749","14,559","14,644","14,644",-12,,,"16,067","115,178"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-11,"14,644","14,649","14,938","14,589","14,892","14,892",248,-3,,"15,855","117,809"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-12,"14,892","14,868","14,880","14,688","14,788","14,788",-104,-9,,"11,934","119,284"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-13,"14,788","14,778","14,792","14,319","14,617","14,602",-186,-3,,"22,468","118,246"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-14,"14,602","14,582","14,686","14,232","14,441","14,441",-161,-2,,"27,477","116,992"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-17,"14,441","14,459","14,538","14,191","14,513","14,513",72,-2,,"11,838","118,616"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-18,"14,513","14,529","14,905","14,439","14,795","14,795",282,-2,,"19,018","117,767"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-19,"14,795","14,779","14,812","14,635","14,659","14,659",-136,-9,,"8,380","118,266"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-20,"14,659","14,705","14,739","14,378","14,570","14,558",-101,-3,,"14,390","118,132"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-21,"14,558","14,550","14,907","14,535","14,779","14,791",233,-3,,"15,160","119,865"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-24,"14,791","14,827","15,044","14,659","14,950","14,950",159,-2,,"18,334","115,856"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-25,"14,950","14,942","15,106","14,848","14,910","14,910",-40,-3,869,"12,672","113,862"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-26,"14,910","14,911","15,099","14,873","14,929","14,929",19,-9,,"12,261","112,213"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-27,"14,929","14,938","15,030","14,696","14,892","14,892",-37,-2,,"15,798","111,826"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-02-28,"14,892","14,946","15,027","14,734","14,913","14,913",21,-2,,"14,048","110,016"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-03-03,"14,913","14,736","14,770","14,439","14,498","14,513",-400,-2,,"22,780","112,373"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-03-04,"14,513","14,555","14,990","14,529","14,974","14,974",461,-3,,"16,221","110,295"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-03-05,"14,974","14,959","15,007","14,878","14,908","14,908",-66,-9,,"9,308","109,927"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-03-06,"14,908","14,904","15,343","14,869","15,308","15,308",400,-3,,"19,218","108,068"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2014-03-07,"15,308","15,323","15,447","15,150","15,313","15,313",5,-3,,"16,311","108,183"
