期間指定,2017/01/01～2017/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-03,"19,046","19,234","19,432","19,147","19,304","19,313",267,,,"16,182","172,168"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-04,"19,313","19,310","19,678","19,268","19,647","19,647",334,,,"26,968","168,071"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-05,"19,647","19,632","19,657","19,370","19,439","19,439",-208,,,"21,831","171,673"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-06,"19,439","19,415","19,634","19,318","19,592","19,592",153,,,"20,380","162,247"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-09,"19,592","19,585","19,709","19,415","19,445","19,445",-147,,,"19,369","164,943"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-10,"19,445","19,441","19,495","19,250","19,330","19,330",-115,,,"20,758","167,570"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-11,"19,330","19,365","19,518","19,133","19,350","19,350",20,,,"27,580","168,216"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-12,"19,350","19,350","19,350","18,949","19,183","19,183",-167,,,"36,671","170,676"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-13,"19,183","19,247","19,380","19,148","19,269","19,269",86,,,"17,208","168,351"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-16,"19,269","19,239","19,251","19,039","19,055","19,055",-214,,,"14,814","169,869"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-17,"19,055","19,110","19,110","18,668","18,738","18,738",-317,,,"50,160","167,877"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-18,"18,738","18,773","19,006","18,643","19,006","18,996",258,,,"20,994","167,038"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-19,"18,996","19,012","19,191","18,963","19,054","19,054",58,,,"17,514","163,448"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-20,"19,054","19,048","19,288","19,029","19,148","19,148",94,,,"19,753","163,174"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-23,"19,148","19,048","19,048","18,787","18,880","18,880",-268,,,"20,984","164,845"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-24,"18,880","18,822","19,084","18,763","19,059","19,059",179,,,"14,973","164,784"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-25,"19,059","19,084","19,293","18,976","19,217","19,217",158,,,"18,518","164,415"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-26,"19,217","19,233","19,571","19,214","19,490","19,490",273,,144,"27,388","164,801"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-27,"19,490","19,489","19,569","19,399","19,476","19,476",-14,,,"14,184","164,878"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-30,"19,476","19,371","19,405","19,064","19,159","19,159",-317,,,"28,247","164,797"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-01-31,"19,159","19,144","19,196","18,822","19,007","18,992",-167,,,"25,674","167,018"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-01,"18,992","18,982","19,299","18,910","19,166","19,166",174,,,"24,529","166,378"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-02,"19,166","19,173","19,179","18,853","19,070","19,070",-96,,,"21,758","169,169"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-03,"19,070","19,086","19,106","18,812","19,076","19,076",6,,,"17,998","169,951"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-06,"19,076","19,107","19,108","18,805","18,879","18,879",-197,,,"18,146","172,102"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-07,"18,879","18,876","18,985","18,795","18,947","18,947",68,,,"13,825","172,316"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-08,"18,947","18,969","19,055","18,870","18,955","18,955",8,,,"13,140","172,446"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-09,"18,955","18,956","19,223","18,869","19,174","19,174",219,,,"13,949","171,423"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-10,"19,174","19,183","19,453","19,166","19,352","19,352",178,,,"22,394","170,329"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-13,"19,352","19,462","19,540","19,400","19,487","19,487",135,,,"19,326","171,692"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-14,"19,487","19,507","19,528","19,222","19,478","19,478",-9,,,"21,597","174,034"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-15,"19,478","19,495","19,505","19,343","19,415","19,425",-53,,,"11,772","173,974"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-16,"19,425","19,466","19,475","19,174","19,259","19,269",-156,,,"20,200","175,537"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-17,"19,269","19,278","19,278","19,029","19,159","19,159",-110,,,"17,683","176,979"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-20,"19,159","19,194","19,290","19,108","19,254","19,254",95,,,"9,239","176,426"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-21,"19,254","19,295","19,484","19,249","19,449","19,449",195,,,"15,308","174,034"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-22,"19,449","19,459","19,474","19,280","19,350","19,350",-99,,,"15,591","176,063"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-23,"19,350","19,374","19,389","19,230","19,295","19,295",-55,,"1,168","15,690","178,533"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-24,"19,295","19,278","19,388","19,086","19,154","19,154",-141,,,"22,751","180,131"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-27,"19,154","19,208","19,228","18,990","19,206","19,206",52,,,"18,662","180,359"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-02-28,"19,206","19,214","19,272","19,020","19,142","19,142",-64,,,"15,607","183,839"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-03-01,"19,142","19,262","19,615","19,161","19,551","19,551",409,,,"41,771","175,312"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-03-02,"19,551","19,625","19,671","19,543","19,553","19,553",2,,,"21,032","176,836"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-03-03,"19,553","19,537","19,592","19,386","19,470","19,470",-83,,,"21,550","178,141"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-03-06,"19,470","19,437","19,454","19,296","19,382","19,382",-88,,,"16,563","182,306"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2017-03-07,"19,382","19,377","19,394","19,306","19,337","19,353",-29,,,"8,683","183,943"
