期間指定,2016/01/01～2016/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-04,"18,749","18,808","18,955","18,092","18,277","18,277",-472,-3,,"47,897","161,648"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-05,"18,277","18,340","18,561","18,141","18,400","18,400",123,-3,,"27,743","161,800"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-06,"18,400","18,413","18,474","17,903","18,033","18,023",-377,-14,,"31,554","162,785"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-07,"18,023","18,063","18,178","17,473","17,578","17,571",-452,-3,,"54,137","162,935"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-08,"17,571","17,579","17,985","17,241","17,278","17,268",-303,,,"43,378","161,083"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-11,"17,268","17,232","17,568","17,108","17,415","17,415",147,-3,,"27,680","162,203"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-12,"17,415","17,396","17,549","17,088","17,396","17,396",-19,-3,,"26,296","161,332"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-13,"17,396","17,437","17,750","17,176","17,226","17,235",-161,-10,,"24,413","161,186"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-14,"17,235","17,234","17,592","16,940","17,484","17,484",249,-3,,"43,808","161,607"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-15,"17,484","17,532","17,606","16,575","16,755","16,755",-729,-3,,"43,270","162,932"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-18,"16,755","16,762","17,037","16,652","16,854","16,854",99,-3,,"22,295","162,050"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-19,"16,854","16,869","17,294","16,760","17,045","17,045",191,-3,,"33,930","161,917"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-20,"17,045","17,045","17,077","15,940","16,350","16,350",-695,-9,,"64,906","162,901"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-21,"16,350","16,434","16,786","15,791","16,391","16,381",31,-3,,"67,921","162,789"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-22,"16,381","16,496","17,276","16,453","17,244","17,244",863,-3,,"45,786","166,322"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-25,"17,244","17,245","17,259","16,809","16,812","16,812",-432,-3,,"30,669","165,988"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-26,"16,812","16,827","17,103","16,537","17,068","17,068",256,-3,129,"34,192","167,437"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-27,"17,068","17,013","17,395","16,957","17,071","17,071",3,-10,,"32,599","168,182"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-28,"17,071","17,103","17,268","16,934","17,120","17,105",34,-3,,"27,784","168,380"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-01-29,"17,105","17,098","17,871","16,745","17,850","17,850",745,-3,,"69,847","168,409"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-01,"17,850","17,860","17,909","17,608","17,754","17,760",-90,-2,,"28,491","169,220"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-02,"17,760","17,707","17,878","17,374","17,464","17,464",-296,-2,,"26,161","170,731"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-03,"17,464","17,452","17,482","16,631","16,952","16,958",-506,-8,,"46,142","169,489"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-04,"16,958","17,046","17,212","16,699","16,822","16,828",-130,-3,,"38,750","168,923"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-05,"16,828","16,810","16,886","16,489","16,563","16,563",-265,-3,,"35,197","170,959"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-08,"16,563","16,583","17,095","16,215","16,425","16,425",-138,-6,,"43,973","175,007"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-09,"16,425","16,396","16,420","15,829","16,101","16,108",-317,-9,,"59,513","173,898"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-10,"16,108","16,146","16,222","15,419","15,596","15,596",-512,,,"64,368","175,520"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-11,"15,596","15,576","15,617","15,023","15,230","15,230",-366,-3,,"46,883","177,196"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-12,"15,230","15,248","15,492","14,772","15,466","15,469",239,-3,,"51,146","178,552"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-15,"15,469","15,566","16,155","15,480","15,940","15,940",471,-3,,"37,053","179,370"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-16,"15,940","15,925","16,338","15,744","15,923","15,923",-17,,,"39,339","178,339"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-17,"15,923","15,947","16,210","15,619","16,048","16,048",125,,,"39,682","178,476"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-18,"16,048","16,164","16,331","15,930","15,956","15,956",-92,,,"35,045","178,593"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-19,"15,956","15,994","16,041","15,745","15,813","15,808",-148,,,"30,246","177,742"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-22,"15,808","15,806","16,285","15,788","16,212","16,212",404,,,"30,736","178,644"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-23,"16,212","16,177","16,342","15,828","15,850","15,850",-362,,,"33,355","178,538"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-24,"15,850","15,818","16,075","15,534","15,934","15,934",84,,"1,058","36,544","179,742"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-25,"15,934","15,966","16,243","15,893","16,242","16,242",308,,,"32,792","179,581"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-26,"16,242","16,224","16,530","16,183","16,323","16,323",81,,,"35,601","179,398"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-02-29,"16,323","16,320","16,461","15,893","15,969","15,969",-354,,,"34,513","177,585"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-01,"15,969","15,942","16,581","15,840","16,525","16,532",563,,,"33,109","179,248"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-02,"16,532","16,558","16,827","16,464","16,703","16,690",158,,,"29,266","181,424"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-03,"16,690","16,684","16,987","16,643","16,854","16,854",164,,,"27,577","182,095"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-04,"16,854","16,884","17,167","16,859","17,054","17,059",205,,,"37,780","181,065"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-07,"17,059","17,085","17,087","16,762","16,858","16,858",-201,,,"17,847","180,255"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-08,"16,858","16,872","16,911","16,561","16,636","16,636",-222,,,"22,081","180,605"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-09,"16,636","16,680","16,821","16,487","16,790","16,790",154,,,"20,576","180,752"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-10,"16,790","16,799","17,162","16,439","16,667","16,663",-127,,,"38,915","180,953"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-11,"16,663","16,660","17,194","16,553","17,184","17,184",521,,,"29,992","166,838"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-14,"17,184","17,140","17,302","17,128","17,255","17,255",71,,,"19,508","167,936"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-15,"17,255","17,251","17,288","16,859","16,965","16,965",-290,,39,"23,915","168,961"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-16,"16,965","16,985","17,095","16,879","16,935","16,942",-23,,,"14,491","170,237"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-17,"16,942","17,000","17,243","16,560","16,820","16,826",-116,,,"40,552","172,990"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-18,"16,826","16,898","16,932","16,555","16,780","16,780",-46,,,"19,175","173,515"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-21,"16,780","16,751","16,899","16,627","16,876","16,876",96,,,"13,439","175,256"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-22,"16,876","16,931","17,104","16,793","17,043","17,043",167,,,"27,463","173,564"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-23,"17,043","17,028","17,128","16,873","16,898","16,898",-145,,,"17,601","173,907"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-24,"16,898","16,917","17,035","16,709","16,872","16,881",-17,,,"20,973","174,315"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-25,"16,881","16,889","17,030","16,874","17,004","17,004",123,,,"12,835","172,936"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-28,"17,004","17,065","17,157","16,939","17,041","17,041",37,,"12,743","18,309","174,848"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-29,"17,041","16,990","17,127","16,922","17,005","17,016",-25,,,"21,638","172,346"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-30,"17,016","17,088","17,088","16,842","16,994","16,994",-22,,,"15,469","170,688"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-03-31,"16,994","16,996","17,041","16,717","16,765","16,753",-241,,,"22,465","173,149"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-01,"16,753","16,794","16,801","16,078","16,148","16,148",-605,,,"38,051","175,911"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-04,"16,148","16,171","16,236","16,018","16,071","16,088",-60,,,"16,207","175,160"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-05,"16,088","16,069","16,070","15,532","15,587","15,593",-495,,,"36,090","176,689"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-06,"15,593","15,662","15,817","15,555","15,726","15,726",133,,,"26,227","178,085"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-07,"15,726","15,784","15,861","15,318","15,404","15,412",-314,,,"35,716","176,867"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-08,"15,412","15,436","16,023","15,401","15,778","15,778",366,,,"34,814","175,926"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-11,"15,778","15,811","15,891","15,503","15,695","15,695",-83,,,"24,666","177,017"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-12,"15,695","15,675","16,130","15,666","16,059","16,059",364,,,"23,319","179,899"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-13,"16,059","16,110","16,662","16,058","16,615","16,615",556,,,"29,152","179,940"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-14,"16,615","16,650","16,920","16,605","16,777","16,777",162,,,"29,056","179,523"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-15,"16,777","16,772","16,926","16,584","16,594","16,600",-177,,,"18,356","180,167"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-18,"16,600","16,415","16,686","16,236","16,658","16,658",58,,,"29,561","182,187"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-19,"16,658","16,699","17,147","16,688","17,029","17,029",371,,,"31,604","175,985"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-20,"17,029","17,026","17,319","16,844","17,228","17,228",199,,,"27,092","177,671"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-21,"17,228","17,243","17,415","17,172","17,229","17,229",1,,,"27,695","178,806"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-22,"17,229","17,155","17,767","17,150","17,733","17,733",504,,,"43,697","178,792"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-25,"17,733","17,670","17,708","17,331","17,452","17,457",-276,,,"22,983","178,873"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-26,"17,457","17,432","17,507","17,199","17,497","17,497",40,,,"18,435","177,862"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-27,"17,497","17,447","17,511","17,230","17,492","17,498",1,,,"17,248","177,906"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-28,"17,498","17,446","17,576","16,126","16,240","16,240","-1,258",,,"57,786","172,920"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-04-29,"16,240","16,310","16,351","15,822","15,851","15,851",-389,,,"21,241","172,575"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-02,"15,851","15,946","16,188","15,918","16,114","16,124",273,,,"23,500","171,188"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-03,"16,124","16,134","16,139","15,822","15,932","15,932",-192,,,"14,739","171,983"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-04,"15,932","16,013","16,093","15,816","15,887","15,887",-45,,,"14,174","171,895"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-05,"15,887","15,927","16,140","15,902","16,078","16,078",191,,,"11,106","172,326"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-06,"16,078","16,088","16,278","15,842","16,092","16,092",14,,,"21,194","170,820"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-09,"16,092","16,163","16,435","16,130","16,273","16,273",181,,,"20,450","170,877"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-10,"16,273","16,264","16,818","16,225","16,801","16,801",528,,,"25,528","172,060"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-11,"16,801","16,789","16,821","16,423","16,441","16,430",-371,,,"22,971","171,436"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-12,"16,430","16,451","16,796","16,358","16,630","16,642",212,,,"18,701","171,462"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-13,"16,642","16,626","16,790","16,309","16,370","16,380",-262,,,"20,462","170,510"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-16,"16,380","16,351","16,678","16,338","16,628","16,628",248,,,"15,329","170,317"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-17,"16,628","16,628","16,786","16,506","16,555","16,555",-73,,,"15,689","170,510"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-18,"16,555","16,590","16,804","16,502","16,734","16,734",179,,,"21,851","169,156"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-19,"16,734","16,757","16,845","16,484","16,593","16,593",-141,,,"17,856","170,640"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-20,"16,593","16,632","16,816","16,541","16,723","16,723",130,,,"13,548","168,350"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-23,"16,723","16,704","16,721","16,417","16,515","16,525",-198,,,"19,106","170,485"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-24,"16,525","16,554","16,802","16,465","16,761","16,761",236,,,"14,512","169,838"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-25,"16,761","16,802","16,997","16,720","16,931","16,931",170,,,"18,007","169,831"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-26,"16,931","16,957","16,967","16,732","16,861","16,861",-70,,,"13,419","169,436"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-27,"16,861","16,883","16,936","16,762","16,905","16,916",55,,,"9,038","169,666"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-30,"16,916","16,998","17,108","16,907","17,046","17,046",130,,,"15,021","169,608"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-05-31,"17,046","17,034","17,262","16,984","17,084","17,069",23,,,"20,885","168,279"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-01,"17,069","17,099","17,163","16,750","16,815","16,815",-254,,,"21,103","171,755"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-02,"16,815","16,836","16,878","16,442","16,610","16,610",-205,,,"20,871","173,722"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-03,"16,610","16,617","16,719","16,260","16,367","16,354",-256,,,"20,610","174,226"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-06,"16,354","16,363","16,692","16,305","16,653","16,663",309,,,"14,807","173,356"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-07,"16,663","16,675","16,848","16,527","16,727","16,727",64,,,"16,714","170,287"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-08,"16,727","16,712","16,855","16,567","16,771","16,779",52,,,"13,718","170,853"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-09,"16,779","16,783","16,787","16,494","16,643","16,631",-148,,,"12,986","173,105"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-10,"16,631","16,676","16,699","16,218","16,317","16,317",-314,,,"16,339","175,577"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-13,"16,317","16,303","16,320","15,918","15,956","15,956",-361,,,"26,696","176,452"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-14,"15,956","15,942","16,079","15,670","15,817","15,817",-139,,,"22,857","175,891"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-15,"15,817","15,772","16,017","15,737","15,950","15,950",133,,,"15,279","176,597"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-16,"15,950","15,874","15,930","15,260","15,582","15,582",-368,,,"42,288","176,267"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-17,"15,582","15,654","15,774","15,444","15,583","15,583",1,,,"16,202","175,479"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-20,"15,583","15,793","16,093","15,773","15,869","15,869",286,,,"16,637","173,774"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-21,"15,869","15,924","16,286","15,750","16,152","16,152",283,,,"16,743","172,563"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-22,"16,152","16,150","16,178","15,960","15,990","15,990",-162,,,"11,201","173,337"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-23,"15,990","16,139","16,556","16,031","16,531","16,531",541,,,"19,264","173,189"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-24,"16,531","16,337","16,465","14,813","15,205","15,205","-1,326",,,"68,095","169,785"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-27,"15,205","15,103","15,440","14,999","15,263","15,241",36,,"2,244","18,002","168,075"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-28,"15,241","15,181","15,583","14,956","15,570","15,570",329,,,"15,557","166,047"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-29,"15,570","15,547","15,753","15,360","15,738","15,738",168,,,"10,543","166,479"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-06-30,"15,738","15,786","15,805","15,456","15,742","15,742",4,,,"11,105","165,809"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-01,"15,742","15,733","15,758","15,531","15,573","15,573",-169,,,"6,362","165,991"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-04,"15,573","15,593","15,813","15,506","15,686","15,722",149,,,"6,382","165,145"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-05,"15,722","15,690","15,692","15,362","15,414","15,414",-308,,,"9,652","166,481"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-06,"15,414","15,389","15,428","15,103","15,385","15,372",-42,,,"15,855","167,619"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-07,"15,372","15,337","15,429","15,228","15,294","15,294",-78,,,"7,203","167,667"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-08,"15,294","15,306","15,401","15,091","15,344","15,344",50,,,"15,129","167,126"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-11,"15,344","15,491","16,144","15,438","16,079","16,079",735,,,"23,184","166,554"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-12,"16,079","16,048","16,579","16,001","16,510","16,510",431,,,"26,591","165,259"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-13,"16,510","16,473","16,502","16,186","16,361","16,346",-164,,,"16,724","165,866"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-14,"16,346","16,286","16,634","16,220","16,523","16,535",189,,,"16,480","164,769"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-15,"16,535","16,515","16,621","16,392","16,520","16,541",6,,,"10,207","164,921"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-18,"16,541","16,527","16,660","16,479","16,616","16,616",75,,,"6,477","164,541"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-19,"16,616","16,633","16,734","16,493","16,608","16,608",-8,,,"11,697","164,113"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-20,"16,608","16,628","16,865","16,536","16,860","16,860",252,,,"11,295","163,660"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-21,"16,860","16,835","16,937","16,478","16,579","16,563",-297,,,"17,990","162,604"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-22,"16,563","16,575","16,704","16,547","16,634","16,627",64,,,"6,320","162,981"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-25,"16,627","16,664","16,775","16,528","16,565","16,565",-62,,,"6,840","163,439"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-26,"16,565","16,586","16,586","16,238","16,411","16,411",-154,,126,"15,084","163,839"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-27,"16,411","16,531","16,839","16,518","16,624","16,624",213,,,"16,312","162,022"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2016-07-28,"16,624","16,598","16,616","16,378","16,571","16,571",-53,,,"12,074","162,578"
