期間指定,2015/01/01～2015/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-02,"17,275","17,383","17,591","17,311","17,426","17,426",151,-3,,"17,625","139,410"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-05,"17,426","17,347","17,555","17,026","17,091","17,097",-329,-3,,"36,944","140,728"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-06,"17,097","17,087","17,097","16,557","16,716","16,716",-381,-3,,"44,863","143,379"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-07,"16,716","16,736","17,178","16,723","17,033","17,033",317,-13,,"34,037","144,844"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-08,"17,033","17,084","17,424","17,012","17,389","17,389",356,-3,,"28,667","142,975"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-09,"17,389","17,385","17,405","16,917","16,948","16,942",-447,,,"40,250","144,501"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-12,"16,942","16,937","17,085","16,745","16,887","16,892",-50,-3,,"29,549","146,173"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-13,"16,892","16,950","17,229","16,793","16,945","16,942",50,-3,,"38,521","144,969"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-14,"16,942","16,933","17,041","16,537","16,759","16,753",-189,-10,,"43,972","149,879"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-15,"16,753","16,774","17,196","16,745","16,809","16,809",56,-3,,"54,375","147,656"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-16,"16,809","16,804","17,089","16,548","17,075","17,075",266,-3,,"38,658","146,767"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-19,"17,075","17,034","17,135","16,910","17,064","17,064",-11,-3,,"17,270","145,553"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-20,"17,064","17,075","17,489","17,055","17,394","17,397",333,-3,,"35,898","141,407"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-21,"17,397","17,381","17,386","17,089","17,320","17,326",-71,-10,,"29,694","143,003"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-22,"17,326","17,330","17,594","17,154","17,578","17,578",252,-3,,"32,482","141,022"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-23,"17,578","17,554","17,590","17,347","17,398","17,398",-180,-3,,"25,656","140,844"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-26,"17,398","17,348","17,707","17,282","17,686","17,687",289,-3,,"26,254","139,172"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-27,"17,687","17,663","17,770","17,495","17,603","17,600",-87,-3,122,"31,549","139,158"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-28,"17,600","17,634","17,879","17,540","17,571","17,563",-37,-12,,"35,017","138,326"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-29,"17,563","17,577","17,853","17,563","17,812","17,820",257,-3,,"30,186","137,836"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-01-30,"17,820","17,843","17,848","17,478","17,506","17,506",-314,-3,,"33,131","142,320"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-02,"17,506","17,504","17,684","17,471","17,654","17,654",148,-3,,"21,330","142,273"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-03,"17,654","17,663","17,673","17,275","17,574","17,574",-80,-3,,"34,304","144,086"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-04,"17,574","17,575","17,742","17,540","17,593","17,593",19,-10,,"29,897","139,268"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-05,"17,593","17,558","17,750","17,461","17,729","17,729",136,-3,,"27,825","137,167"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-06,"17,729","17,691","17,923","17,611","17,779","17,779",50,-7,,"32,223","133,664"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-09,"17,779","17,803","17,818","17,543","17,573","17,573",-206,-3,,"24,489","138,542"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-10,"17,573","17,610","17,873","17,553","17,844","17,844",271,,,"26,767","135,003"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-11,"17,844","17,825","18,017","17,796","17,988","17,995",151,-10,,"21,077","137,084"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-12,"17,995","17,982","18,000","17,713","17,916","17,916",-79,-3,,"33,788","135,446"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-13,"17,916","17,916","18,102","17,851","18,069","18,069",153,-3,,"26,494","137,694"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-16,"18,069","18,044","18,080","17,965","17,965","17,974",-95,-3,,"15,241","137,118"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-17,"17,974","17,947","18,185","17,902","18,117","18,119",145,-3,,"21,246","139,742"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-18,"18,119","18,120","18,345","18,086","18,251","18,244",125,-11,,"27,975","140,938"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-19,"18,244","18,242","18,395","18,221","18,364","18,364",120,-4,,"18,859","141,603"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-20,"18,364","18,355","18,547","18,279","18,528","18,528",164,-3,,"24,718","141,219"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-23,"18,528","18,490","18,526","18,410","18,498","18,498",-30,-3,,"19,619","142,637"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-24,"18,498","18,508","18,710","18,441","18,654","18,654",156,-3,917,"28,703","142,792"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-25,"18,654","18,653","18,689","18,558","18,632","18,632",-22,-13,,"24,546","142,681"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-26,"18,632","18,629","18,923","18,597","18,883","18,883",251,-3,,"32,908","141,007"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-02-27,"18,883","18,875","18,877","18,724","18,822","18,822",-61,-3,,"20,399","141,535"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-02,"18,822","18,913","18,995","18,784","18,942","18,942",120,-3,,"25,998","141,718"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-03,"18,942","18,934","18,942","18,671","18,766","18,766",-176,-3,,"28,303","143,696"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-04,"18,766","18,742","18,756","18,581","18,721","18,721",-45,-11,,"26,711","146,243"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-05,"18,721","18,728","18,931","18,660","18,861","18,861",140,-4,,"23,607","146,998"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-06,"18,861","18,859","19,099","18,820","18,856","18,847",-14,-3,,"42,359","147,972"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-09,"18,847","18,896","18,907","18,706","18,852","18,852",5,-3,,"25,616","148,278"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-10,"18,852","18,893","18,930","18,520","18,568","18,568",-284,-3,,"36,511","152,269"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-11,"18,568","18,571","18,858","18,547","18,772","18,772",204,-12,,"28,036","152,230"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-12,"18,772","18,792","19,252","18,781","19,234","19,234",462,-4,,"40,253","154,595"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-13,"19,234","19,227","19,378","19,138","19,331","19,331",97,-3,,"38,363","154,273"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-16,"19,331","19,308","19,500","19,240","19,446","19,455",124,-3,,"26,779","154,444"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-17,"19,455","19,433","19,583","19,383","19,473","19,473",18,-4,47,"33,113","156,023"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-18,"19,473","19,465","19,643","19,413","19,536","19,536",63,-12,,"31,588","155,933"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-19,"19,536","19,502","19,581","19,333","19,472","19,472",-64,-3,,"32,780","156,207"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-20,"19,472","19,489","19,711","19,433","19,681","19,681",209,-3,,"31,452","156,469"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-23,"19,681","19,658","19,808","19,646","19,764","19,764",83,-3,,"27,031","159,865"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-24,"19,764","19,728","19,839","19,669","19,709","19,722",-42,-3,,"22,993","162,761"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-25,"19,722","19,741","19,800","19,563","19,599","19,591",-131,-10,,"31,758","166,981"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-26,"19,591","19,604","19,649","19,127","19,410","19,410",-181,-3,"11,183","59,963","173,681"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-27,"19,410","19,331","19,613","19,081","19,343","19,343",-67,-3,,"54,928","172,319"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-30,"19,343","19,341","19,627","19,227","19,582","19,590",247,-3,,"29,187","167,762"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-03-31,"19,590","19,611","19,618","19,187","19,240","19,240",-350,,,"40,345","172,279"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-01,"19,240","19,270","19,277","18,938","19,224","19,224",-16,-8,,"44,918","173,044"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-02,"19,224","19,173","19,446","19,123","19,328","19,328",104,-3,,"27,503","171,410"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-03,"19,328","19,354","19,551","19,313","19,336","19,336",8,-3,,"30,623","169,470"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-06,"19,336","19,328","19,603","19,250","19,584","19,584",248,-3,,"24,678","167,834"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-07,"19,584","19,559","19,853","19,505","19,783","19,783",199,-3,,"44,212","167,406"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-08,"19,783","19,747","19,909","19,704","19,863","19,871",88,-9,,"38,384","167,277"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-09,"19,871","19,858","20,087","19,837","20,082","20,082",211,-3,,"36,800","167,694"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2015-04-10,"20,082","20,037","20,046","19,856","20,033","20,033",-49,-3,,"38,591","167,301"
