期間指定,2011/01/01～2011/12/31
株価指数,NKY/JPY
商品名,Product,取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,金利相当額,配当相当額,取引数量,建玉数量
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-03,"10,180",,,,,"10,180",,,,,"2,210"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-04,"10,180","10,359","10,423","10,297","10,410","10,410",230,-1,,"2,990","2,603"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-05,"10,410","10,397","10,518","10,337","10,518","10,518",108,-5,,"3,780","3,341"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-06,"10,518","10,505","10,555","10,464","10,493","10,491",-27,-1,,"4,014","3,766"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-07,"10,491","10,499","10,560","10,426","10,482","10,482",-9,-1,,"5,539","4,336"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-10,"10,482",,,,,"10,482",,,,,"4,336"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-11,"10,482","10,464","10,583","10,429","10,557","10,557",75,-1,,"5,417","4,946"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-12,"10,557","10,549","10,636","10,512","10,601","10,601",44,-4,,"3,051","5,131"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-13,"10,601","10,602","10,628","10,552","10,565","10,565",-36,-1,,"2,970","5,652"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-14,"10,565","10,589","10,603","10,472","10,585","10,585",20,-1,,"3,806","7,001"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-17,"10,585","10,579","10,591","10,476","10,513","10,513",-72,-1,,"3,008","6,233"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-18,"10,513","10,507","10,582","10,460","10,572","10,572",59,-1,,"1,699","5,859"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-19,"10,572","10,582","10,588","10,435","10,450","10,457",-115,-4,,"2,325","5,706"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-20,"10,457","10,463","10,509","10,402","10,486","10,476",19,-1,,"5,205","5,508"
"日経 225 証拠金取引","Nikkei 225 Daily Futures contract",2011-01-21,"10,476","10,490","10,498","10,264","10,295","10,304",-172,-1,,"8,122","4,674"
