trading_day,target,wd_Monday,wd_Thursday,wd_Wednesday,wd_Thursday,wd_Friday,up_flg,down_flg,up_cnt_rolling5_0.0,up_cnt_rolling5_1.0,up_cnt_rolling5_2.0,up_cnt_rolling5_3.0,up_cnt_rolling5_4.0,up_cnt_rolling5_5.0,up_must_length,down_must_length,box_length,RCI9_p,RCI9_m,RCI9_slope_p,RCI9_slope_m,RSI,RSI_slope,cross_25_50_-1,cross_25_50_1,cross_25_75_-1,cross_25_75_1,cross_50_75_-1,cross_50_75_1,MA25_slope_p,MA25_slope_m,MA50_slope_p,MA50_slope_m,MA75_slope_p,MA75_slope_m,MA25_dev_p,MA25_dev_m,BLGR_sigma_p_dev_p,BLGR_sigma_p_dev_m,BLGR_2sigma_p_dev_p,BLGR_2sigma_p_dev_m,BLGR_sigma_m_dev_p,BLGR_sigma_m_dev_m,BLGR_2sigma_m_dev_p,BLGR_2sigma_m_dev_m
2013-05-01,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,22,82,0.0,-14.999999999999991,11.66666666666667,0.0,64.08006851970802,-3.980205624415632,0,0,0,0,0,0,51.56000000000131,0.0,46.899999999999636,0.0,41.66666666666606,0.0,0.03860588032991625,0.0,0.0,-0.004632555236337253,0.0,-0.04441474061437701,0.08577143562922566,0.0,0.13742458246688316,0.0
2013-05-02,1,0,1,0,1,0,1,0,0,0,0,1,0,0,45,143,73,9.999999999999998,0.0,24.99999999999999,0.0,65.61007056128835,1.5300020415803317,0,0,0,0,0,0,57.55999999999949,0.0,51.340000000000146,0.0,39.64000000000124,0.0,0.03989883364322036,0.0,0.0,-0.0020535099081181512,0.0,-0.040752172793297986,0.08553320628609347,0.0,0.13535659713929957,0.0
2013-05-03,1,0,0,0,0,1,1,0,0,0,0,0,1,0,64,0,296,36.66666666666667,0.0,26.66666666666667,0.0,70.76522757612325,5.155157014834899,0,0,0,0,0,0,69.60000000000036,0.0,52.70000000000073,0.0,42.279999999998836,0.0,0.05660422462401797,0.0,0.014897819103038556,0.0,0.0,-0.023641132304798484,0.10188531080330288,0.0,0.1512212369988639,0.0
2013-05-06,1,1,0,0,0,0,0,1,0,0,0,1,0,0,47,39,5,36.66666666666667,0.0,0.0,0.0,71.34349474369172,0.5782671675684696,0,0,0,0,0,0,84.71999999999935,0.0,59.659999999999854,0.0,44.960000000000946,0.0,0.052705812486081215,0.0,0.01498386324939393,0.0,0.0,-0.020128201125288195,0.09333986836237444,0.0,0.13723678872663367,0.0
2013-05-07,1,0,0,0,0,0,1,0,0,0,0,1,0,0,29,111,58,3.3333333333333326,0.0,0.0,-33.333333333333336,72.06716269941003,0.7236679557183123,0,0,0,0,0,0,82.31999999999971,0.0,56.44000000000051,0.0,47.74666666666599,0.0,0.04963211965776653,0.0,0.016204653889215718,0.0,0.0,-0.015159406536280522,0.08533354025802116,0.0,0.123549119733357,0.0
2013-05-08,1,0,0,1,0,0,1,0,0,0,0,0,1,0,66,21,165,0.0,-21.666666666666657,0.0,-24.99999999999999,74.23180933910311,2.164646639693075,0,0,0,0,0,0,87.88000000000102,0.0,58.61999999999898,0.0,51.22666666666737,0.0,0.053059848107204585,0.0,0.02488511916809235,0.0,0.0,-0.0018212598539076004,0.08282744767067157,0.0,0.11432692780888531,0.0
2013-05-09,1,0,1,0,1,0,1,0,0,0,0,0,1,0,38,178,185,0.0,-26.66666666666666,0.0,-5.0000000000000036,76.7450274424051,2.5132181033019947,0,0,0,0,0,0,62.43999999999869,0.0,60.159999999999854,0.0,49.65333333333365,0.0,0.06139682595281258,0.0,0.03202318811433827,0.0,0.004231570743977789,0.0,0.09249152495294295,0.0,0.12546311089839754,0.0
2013-05-10,1,0,0,0,0,1,1,0,0,0,0,0,1,0,18,55,245,0.0,-35.00000000000001,0.0,-8.333333333333346,79.44389612683744,2.698868684432341,0,0,0,0,0,0,65.20000000000073,0.0,61.280000000000655,0.0,50.279999999998836,0.0,0.07271200769273227,0.0,0.04058975107220113,0.0,0.010335357177735273,0.0,0.10688061558600583,0.0,0.14329755275582134,0.0
2013-05-13,1,1,0,0,0,0,1,0,0,0,0,0,0,1,25,23,113,0.0,-39.99999999999999,0.0,-4.999999999999986,80.51540241343558,1.0715062865981366,0,0,0,0,0,0,58.399999999999636,0.0,62.399999999999636,0.0,54.493333333333794,0.0,0.0753411382170267,0.0,0.04002359374327427,0.0,0.006952155957552515,0.0,0.11314165559327605,0.0,0.15369653089096108,0.0
2013-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30,76,225,0.0,-39.99999999999999,0.0,0.0,82.42840605240701,1.913003638971432,0,0,0,0,0,0,71.15999999999985,0.0,64.65999999999985,0.0,55.52000000000044,0.0,0.08364991653715538,0.0,0.04498785735794113,0.0,0.008989504620998352,0.0,0.1252826931970947,0.0,0.17024226368044582,0.0
2013-05-15,0,0,0,1,0,0,1,0,0,0,0,0,0,1,62,49,128,0.0,-39.99999999999999,0.0,0.0,83.49202824169777,1.0636221892907542,0,0,0,0,0,0,68.07999999999993,0.0,61.31999999999971,0.0,54.52000000000044,0.0,0.08674483477583475,0.0,0.044560531671002775,0.0,0.005528800979672228,0.0,0.13247973171505126,0.0,0.18223318932696927,0.0
2013-05-16,0,0,1,0,1,0,0,1,0,0,0,0,1,0,65,125,137,0.0,-39.99999999999999,0.0,0.0,76.26819911011563,-7.223829131582136,0,0,0,0,0,0,60.47999999999956,0.0,57.38000000000102,0.0,51.85333333333256,0.0,0.06993960202353189,0.0,0.026698263958891733,0.0,0.0,-0.013183668190170444,0.11698347229550851,0.0,0.168354520131081,0.0
2013-05-17,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,74,397,0.0,-35.00000000000001,4.999999999999986,0.0,80.27846247922618,4.010263369110547,0,0,0,0,0,0,80.72000000000116,0.0,58.780000000000655,0.0,54.34666666666635,0.0,0.09011545484445349,0.0,0.04346085098767388,0.0,0.0006357851177055534,0.0,0.14113731074705063,0.0,0.19716974468110968,0.0
2013-05-20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,94,73,3,0.0,-35.00000000000001,0.0,0.0,77.68720029960986,-2.591262179616322,0,0,0,0,0,0,91.19999999999891,0.0,57.83999999999833,0.0,55.840000000000146,0.0,0.07832448756521647,0.0,0.03228034649200308,0.0,0.0,-0.009992677399228399,0.12866792918229852,0.0,0.18394232185892082,0.0
2013-05-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44,52,180,0.0,-33.33333333333333,1.6666666666666785,0.0,79.65304542778249,1.9658451281726315,0,0,0,0,0,0,85.48000000000138,0.0,65.14000000000124,0.0,56.506666666666206,0.0,0.08510286775186283,0.0,0.0372874426715684,0.0,0.0,-0.006491831010916615,0.1375395753645829,0.0,0.19530154376611683,0.0
2013-05-22,0,0,0,1,0,0,1,0,0,0,0,0,1,0,355,30,160,0.0,-33.33333333333333,0.0,0.0,81.01588432927309,1.3628389014906048,0,0,0,0,0,0,94.35999999999876,0.0,66.29999999999927,0.0,56.3066666666673,0.0,0.08792715902389091,0.0,0.03899973014822366,0.0,0.0,-0.005716266022041317,0.14169038280727664,0.0,0.20104359891796258,0.0
2013-05-23,0,0,1,0,1,0,0,1,0,0,0,0,1,0,248,751,957,0.0,-33.33333333333333,0.0,0.0,55.972537505253264,-25.043346824019828,0,0,0,0,0,0,58.52000000000044,0.0,45.86000000000058,0.0,45.266666666666424,0.0,0.02207901233199699,0.0,0.0,-0.021508155310089202,0.0,-0.0615297764071861,0.06973042573025698,0.0,0.12204233355896331,0.0
2013-05-24,0,0,0,0,0,1,0,1,0,0,0,1,0,0,348,315,432,13.33333333333333,0.0,46.66666666666666,0.0,47.3381622771834,-8.634375228069864,0,0,0,0,0,0,27.920000000000073,0.0,35.600000000000364,0.0,41.399999999999636,0.0,0.0,-0.013491727709890513,0.0,-0.054016208173335314,0.0,-0.09134267277520382,0.03066015709127024,0.0,0.07894930664147018,0.0
2013-05-27,0,1,0,0,0,0,0,1,0,0,1,0,0,0,30,242,403,44.99999999999999,0.0,31.666666666666664,0.0,42.344486908665544,-4.993675368517856,0,0,0,0,0,0,13.600000000000364,0.0,30.19999999999891,0.0,33.840000000000146,0.0,0.0,-0.03824636916421021,0.0,-0.07674363236789894,0.0,-0.11227756050634426,0.0036010472433419456,0.0,0.049255821906595096,0.0
2013-05-28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,224,75,481,68.33333333333333,0.0,23.333333333333336,0.0,50.77350122854233,8.429014319876785,0,0,0,0,0,0,27.959999999999127,0.0,39.659999999999854,0.0,40.77333333333445,0.0,0.0,-0.004254579946397211,0.0,-0.04285506554333519,0.0,-0.07857450819288063,0.03759016343288127,0.0,0.0831061119832941,0.0
2013-05-29,0,0,0,1,0,0,0,1,0,1,0,0,0,0,78,182,461,80.0,0.0,11.666666666666671,0.0,44.98490771144479,-5.788593517097539,0,0,0,0,0,0,4.200000000000728,0.0,26.659999999999854,0.0,35.98666666666577,0.0,0.0,-0.03383107342608188,0.0,-0.07103465079835644,0.0,-0.10547932025985754,0.006476710053739663,0.0,0.05029412869035488,0.0
2013-05-30,0,0,1,0,1,0,0,1,0,1,0,0,0,0,140,178,235,85.0,0.0,5.0,0.0,41.342193890071876,-3.642713821372915,0,0,0,0,0,0,0.0,-10.8799999999992,23.460000000000946,0.0,33.14666666666744,0.0,0.0,-0.05414054030195784,0.0,-0.09131900812311725,0.0,-0.12568529865012634,0.0,-0.013789991089464224,0.030156694622396934,0.0
2013-05-31,0,0,0,0,0,1,0,1,0,1,0,0,0,0,79,34,394,90.0,0.0,5.0,0.0,38.48151829718581,-2.860675592886068,0,0,0,0,0,0,0.0,-14.960000000000946,19.479999999999563,0.0,28.586666666666133,0.0,0.0,-0.07111317300284153,0.0,-0.10890613714849802,0.0,-0.1437440211279987,0.0,-0.029972484411843185,0.014981357927771366,0.0
